datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,City,Temp_Range,Heat_Index,Severity_Score,Condition_Code,Month,Season,Day_of_Week,Is_Weekend,Health_Risk_Score
2024-09-21,1726894800.0,92.0,74.2,82.9,93.6,74.2,84.1,67.5,62.6,0.0,19.4,0.0,,0.0,0.0,19.0,10.5,116.3,1013.8,29.3,15.0,200.8,17.3,7.0,10.0,07:22:09,1726921329.0,19:31:08,1726965068.0,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,,fcst,San Antonio,17.800000000000000,86.34996795313600,3.3,,9.0,Fall,Saturday,TRUE,10.700796795313600
2024-09-07,1725692400.0,103.0,75.0,86.2,103.1,75.0,86.2,61.5,48.3,0.0,3.0,0.0,,0.0,0.0,6.9,5.8,237.0,1008.4,11.3,10.0,261.5,22.7,9.0,10.0,06:31:08,1725715868.0,19:09:54,1725761394.0,0.16,Clear,Clear conditions throughout the day.,clear-day,"['KHHR', 'KBUR', 'KSMO', 'SE428', 'KLAX', 'F1624', 'CQ070', 'KLGB']",comb,Los Angeles,28.0,87.70363300565600,2.49,0.0,9.0,Fall,Saturday,TRUE,9.973033300565600
2024-09-08,1725778800.0,103.0,78.0,87.8,99.9,78.0,86.5,54.8,35.6,0.0,5.0,0.0,,0.0,0.0,6.9,5.8,234.3,1008.5,22.9,9.9,283.6,24.8,9.0,10.0,06:31:49,1725802309.0,19:08:31,1725847711.0,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,Los Angeles,25.0,86.592530578144,2.49,,9.0,Fall,Sunday,TRUE,9.5456930578144
2024-09-09,1725865200.0,99.9,76.9,85.4,100.6,76.9,85.1,55.5,36.6,0.0,1.0,0.0,,0.0,0.0,18.6,10.3,242.1,1010.1,11.7,10.1,311.0,26.9,9.0,10.0,06:32:31,1725888751.0,19:07:08,1725934028.0,0.22,Clear,Clear conditions throughout the day.,clear-day,,fcst,Los Angeles,23.0,84.15490382761600,3.66,0.0,9.0,Fall,Monday,FALSE,9.7550503827616
2024-09-10,1725951600.0,86.6,67.4,77.0,86.7,67.4,77.1,58.8,54.2,0.016,0.0,4.17,['rain'],0.0,0.0,20.1,10.7,216.4,1010.7,8.8,12.2,273.8,23.7,9.0,10.0,06:33:12,1725975192.0,19:05:45,1726020345.0,0.25,Clear,Clear conditions throughout the day.,clear-day,,fcst,Los Angeles,19.20000000000000,78.69875953840000,3.8116,0.0,9.0,Fall,Tuesday,FALSE,9.935763153840000
2024-09-11,1726038000.0,78.7,63.1,68.6,78.7,63.1,68.6,59.9,74.5,0.0,2.0,0.0,,0.0,0.0,16.6,8.9,183.0,1007.3,14.7,15.0,277.6,23.8,9.0,10.0,06:33:53,1726061633.0,19:04:22,1726106662.0,0.29,Clear,Clear conditions throughout the day.,clear-day,,fcst,Los Angeles,15.6,72.29696240940000,3.46,0.0,9.0,Fall,Wednesday,FALSE,9.807396240940010
2024-09-12,1726124400.0,77.1,60.7,67.2,77.1,60.7,67.2,61.4,82.6,0.0,3.0,0.0,,0.0,0.0,15.2,8.1,177.0,1005.5,17.3,15.0,266.8,23.2,9.0,10.0,06:34:35,1726148075.0,19:02:58,1726192978.0,0.32,Clear,Clear conditions throughout the day.,clear-day,,fcst,Los Angeles,16.40000000000000,68.74312910198390,3.3200000000000000,0.0,9.0,Fall,Thursday,FALSE,9.61663291019839
2024-09-13,1726210800.0,77.4,61.8,67.1,77.4,61.8,67.1,62.8,87.1,0.0,2.0,0.0,,0.0,0.0,15.2,8.1,188.7,1008.8,23.3,15.0,263.3,22.8,9.0,10.0,06:35:16,1726234516.0,19:01:34,1726279294.0,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,Los Angeles,15.600000000000000,66.39536281334080,3.3200000000000000,,9.0,Fall,Friday,FALSE,9.53125628133408
2024-09-14,1726297200.0,77.8,61.6,67.1,77.8,61.6,67.1,62.6,87.0,0.0,1.0,0.0,,0.0,0.0,15.7,8.1,213.4,1011.3,18.7,15.0,263.6,22.8,9.0,10.0,06:35:57,1726320957.0,19:00:10,1726365610.0,0.39,Clear,Clear conditions throughout the day.,clear-day,,fcst,Los Angeles,16.200000000000000,66.44999263240000,3.37,0.0,9.0,Fall,Saturday,TRUE,9.576899263240000
2024-09-15,1726383600.0,83.9,61.2,72.1,81.2,61.2,71.6,43.3,40.0,0.0,0.0,0.0,,0.0,0.0,6.9,8.3,171.9,1011.3,2.4,15.0,269.3,23.5,9.0,10.0,06:36:39,1726407399.0,18:58:46,1726451926.0,0.42,Clear,Clear conditions throughout the day.,clear-day,,fcst,Los Angeles,22.700000000000000,76.96968048870000,2.49,0.0,9.0,Fall,Sunday,TRUE,8.692968048870000
